rowId,city_name,town_name,latitude,longitude,households,population,e_stat_code
1,岡山市中区,赤坂台,34.649225,133.938289,100,183,331020190
2,岡山市中区,赤坂本町,34.650656,133.937937,131,320,331020180
3,岡山市中区,赤坂南新町,34.646438,133.939558,53,135,331020200
4,岡山市中区,赤田,34.680085,133.962836,987,2067,331020670
5,岡山市中区,網浜,34.646945,133.937188,78,143,331020390
6,岡山市中区,今在家,34.692099,133.950258,915,2328,331020550
7,岡山市中区,今谷,34.669121,133.980711,72,310,331020720
8,岡山市中区,江崎,34.621693,133.960906,830,2349,331020330
9,岡山市中区,江並,34.610476,133.970576,1794,4450,331020340
10,岡山市中区,沖元,34.629745,133.984304,183,634,331020310
11,岡山市中区,奥市,34.657916,133.952879,19,102,331020360
12,岡山市中区,乙多見,34.680160,133.977610,1344,3167,331020630
13,岡山市中区,御成町,34.657993,133.944817,214,535,331020170
14,岡山市中区,雄町,34.685997,133.973702,1136,2678,331020540
15,岡山市中区,門田文化町一丁目,34.655390,133.948076,103,210,33102037001
16,岡山市中区,門田文化町二丁目,34.653036,133.947681,142,337,33102037002
17,岡山市中区,門田文化町三丁目,34.653113,133.951547,128,284,33102037003
18,岡山市中区,門田本町一丁目,34.651550,133.944815,98,247,33102038001
19,岡山市中区,門田本町二丁目,34.648108,133.943428,206,436,33102038002
20,岡山市中区,門田本町三丁目,34.649312,133.945307,87,207,33102038003
21,岡山市中区,門田本町四丁目,34.649170,133.948636,17,57,33102038004
22,岡山市中区,門田屋敷一丁目,34.657599,133.940415,360,768,33102015001
23,岡山市中区,門田屋敷二丁目,34.655364,133.940294,207,362,33102015002
24,岡山市中区,門田屋敷三丁目,34.653876,133.939880,165,390,33102015003
25,岡山市中区,門田屋敷四丁目,34.652789,133.939366,122,364,33102015004
26,岡山市中区,門田屋敷五丁目,34.656761,133.938279,44,76,33102015005
27,岡山市中区,門田屋敷本町,34.655477,133.937432,57,95,331020140
28,岡山市中区,兼基,34.669780,133.974133,868,1956,331020710
29,岡山市中区,祇園,34.704771,133.961209,535,1438,331020560
30,岡山市中区,旭東町一丁目,34.651700,133.934808,104,215,33102013001
31,岡山市中区,旭東町二丁目,34.651057,133.936222,100,197,33102013002
32,岡山市中区,旭東町三丁目,34.650481,133.934215,87,153,33102013003
33,岡山市中区,国富,34.666594,133.942302,747,1747,33102004000
34,岡山市中区,国富一丁目,34.663394,133.944956,290,641,33102004001
35,岡山市中区,国富二丁目,34.662790,133.948187,321,703,33102004002
36,岡山市中区,国富三丁目,34.663562,133.951466,167,370,33102004003
37,岡山市中区,国富四丁目,34.668064,133.946197,285,754,33102004004
38,岡山市中区,倉田,34.636348,133.960409,1223,2979,331020290
39,岡山市中区,倉富,34.642250,133.969532,792,1939,331020280
40,岡山市中区,倉益,34.643220,133.977536,587,1667,331020270
41,岡山市中区,桑野,34.621542,133.978571,951,2545,331020300
42,岡山市中区,神下,34.676350,133.984334,733,1524,331020620
43,岡山市中区,国府市場,34.691310,133.968747,1082,3090,331020520
44,岡山市中区,小橋町一丁目,34.659435,133.937271,189,401,33102008001
45,岡山市中区,小橋町二丁目,34.656915,133.936758,141,196,33102008002
46,岡山市中区,さい,34.680947,133.948779,686,1427,331020480
47,岡山市中区,さい東町一丁目,34.678017,133.951760,442,913,33102076001
48,岡山市中区,さい東町二丁目,34.681433,133.951767,289,624,33102076002
49,岡山市中区,さくら住座,34.651251,133.932352,173,230,331020110
50,岡山市中区,桜橋一丁目,34.645630,133.932707,66,92,33102040001
51,岡山市中区,桜橋二丁目,34.648744,133.933072,122,248,33102040002
52,岡山市中区,桜橋三丁目,34.647434,133.934927,134,242,33102040003
53,岡山市中区,桜橋四丁目,34.645141,133.936781,38,70,33102040004
54,岡山市中区,沢田,34.666672,133.963946,244,574,331020690
55,岡山市中区,四御神,34.695236,133.979487,2039,4907,331020640
56,岡山市中区,清水,34.682747,133.962925,540,1242,33102073000
57,岡山市中区,清水一丁目,34.679532,133.957262,386,693,33102073001
58,岡山市中区,清水二丁目,34.682329,133.956717,244,512,33102073002
59,岡山市中区,下,34.680266,133.997435,664,1625,331020590
60,岡山市中区,賞田,34.697491,133.960297,287,782,331020500
61,岡山市中区,新京橋一丁目,34.654634,133.935870,100,206,33102012001
62,岡山市中区,新京橋二丁目,34.654473,133.937191,42,83,33102012002
63,岡山市中区,新京橋三丁目,34.653092,133.936620,133,289,33102012003
64,岡山市中区,新築港,34.604142,133.981246,0,0,331020350
65,岡山市中区,住吉町一丁目,34.664236,133.940891,173,408,33102005001
66,岡山市中区,住吉町二丁目,34.665812,133.940187,106,250,33102005002
67,岡山市中区,関,34.679867,133.971436,2056,5064,331020660
68,岡山市中区,高島一丁目,34.685068,133.949843,196,299,33102075001
69,岡山市中区,高島二丁目,34.683698,133.953545,651,916,33102075002
70,岡山市中区,高島新屋敷,34.686976,133.954686,1156,2701,331020570
71,岡山市中区,高屋,34.675298,133.965034,1416,3200,331020700
72,岡山市中区,竹田,34.682970,133.939165,643,1040,331020440
73,岡山市中区,中納言町,34.659072,133.938984,275,530,331020090
74,岡山市中区,土田,34.701974,133.981433,1059,2434,331020650
75,岡山市中区,徳吉町一丁目,34.659731,133.941973,67,180,33102016001
76,岡山市中区,徳吉町二丁目,34.657721,133.942554,150,356,33102016002
77,岡山市中区,中井,34.688489,133.961325,404,987,331020532
78,岡山市中区,中井一丁目,34.684638,133.960788,414,753,33102053101
79,岡山市中区,中井二丁目,34.687261,133.960719,262,637,33102053102
80,岡山市中区,中井三丁目,34.687113,133.964582,374,908,33102053103
81,岡山市中区,中井四丁目,34.684825,133.964767,383,712,33102053104
82,岡山市中区,長岡,34.682074,133.985082,1623,2758,331020580
83,岡山市中区,中島,34.688206,133.943611,609,1258,331020470
84,岡山市中区,長利,34.674964,133.999478,123,370,331020600
85,岡山市中区,西川原,34.678888,133.939027,1366,2575,33102046000
86,岡山市中区,西川原一丁目,34.677094,133.935849,756,1241,33102046001
